OrderID,OrderDate,Region,CustomerType,Category,Product,Quantity,UnitPrice,Discount,Returned
1001,2024-01-05,East,Corporate,Technology,Wireless Mouse,4,25.5,0.0,No
1002,2024-01-06,West,Consumer,Office Supplies,Mechanical Pencil Set,10,8.0,0.1,No
1003,2024-01-07,Central,Home Office,Furniture,Ergonomic Chair,1,250.0,0.05,No
1004,2024-01-08,South,Consumer,Technology,Bluetooth Speaker,2,45.0,0.0,Yes
1005,2024-01-09,East,Corporate,Office Supplies,Gel Pens 12-Pack,5,12.0,0.0,No
1006,2024-01-10,West,Consumer,Furniture,Standing Desk,1,450.0,0.15,No
1007,2024-01-11,Central,Corporate,Technology,USB-C Hub,3,35.0,0.0,No
1008,2024-01-12,South,Home Office,Office Supplies,Notebook Binder,8,5.5,0.0,No
1009,2024-01-13,East,Consumer,Technology,4K Monitor,1,320.0,0.1,No
1010,2024-01-14,West,Corporate,Furniture,Desk Lamp,2,28.0,0.0,No
1011,2024-01-15,Central,Consumer,Office Supplies,Stapler Heavy Duty,1,18.5,0.0,No
1012,2024-01-16,South,Home Office,Technology,Webcam 1080p,2,60.0,0.05,Yes
1013,2024-01-17,East,Consumer,Furniture,Bookshelf 4-Tier,1,110.0,0.0,No
1014,2024-01-18,West,Corporate,Office Supplies,Paper Ream A4,15,6.5,0.1,No
1015,2024-01-19,Central,Consumer,Technology,Noise-Cancel Headphones,1,199.99,0.0,No
1016,2024-01-20,South,Corporate,Furniture,Office Sofa,1,650.0,0.2,No
1017,2024-01-21,East,Home Office,Office Supplies,Sticky Notes Pack,12,3.2,0.0,No
1018,2024-01-22,West,Consumer,Technology,External SSD 1TB,2,110.0,0.05,No
1019,2024-01-23,Central,Corporate,Furniture,Filing Cabinet,1,180.0,0.0,No
1020,2024-01-24,South,Consumer,Office Supplies,Scissors Set,4,7.5,0.0,No
1021,2024-01-25,East,Corporate,Technology,Wireless Mouse,3,25.5,0.0,No
1022,2024-01-26,West,Home Office,Office Supplies,Gel Pens 12-Pack,6,12.0,0.0,No
1023,2024-01-27,Central,Consumer,Furniture,Ergonomic Chair,2,250.0,0.1,Yes
1024,2024-01-28,South,Corporate,Technology,Bluetooth Speaker,1,45.0,0.0,No
1025,2024-01-29,East,Consumer,Office Supplies,Mechanical Pencil Set,8,8.0,0.0,No
1026,2024-01-30,West,Home Office,Technology,4K Monitor,2,320.0,0.15,No
1027,2024-01-31,Central,Corporate,Furniture,Standing Desk,1,450.0,0.05,No
1028,2024-02-01,South,Consumer,Office Supplies,Notebook Binder,5,5.5,0.0,No
1029,2024-02-02,East,Home Office,Technology,USB-C Hub,4,35.0,0.0,No
1030,2024-02-03,West,Corporate,Furniture,Desk Lamp,3,28.0,0.0,No
1031,2024-02-04,Central,Consumer,Office Supplies,Paper Ream A4,20,6.5,0.1,No
1032,2024-02-05,South,Corporate,Technology,Webcam 1080p,1,60.0,0.0,No
1033,2024-02-06,East,Consumer,Furniture,Bookshelf 4-Tier,1,110.0,0.0,No
1034,2024-02-07,West,Home Office,Office Supplies,Stapler Heavy Duty,2,18.5,0.0,No
1035,2024-02-08,Central,Corporate,Technology,Noise-Cancel Headphones,2,199.99,0.1,No
1036,2024-02-09,South,Consumer,Furniture,Ergonomic Chair,1,250.0,0.0,Yes
1037,2024-02-10,East,Home Office,Office Supplies,Sticky Notes Pack,15,3.2,0.0,No
1038,2024-02-11,West,Corporate,Technology,External SSD 1TB,1,110.0,0.0,No
1039,2024-02-12,Central,Consumer,Furniture,Filing Cabinet,2,180.0,0.05,No
1040,2024-02-13,South,Home Office,Office Supplies,Scissors Set,3,7.5,0.0,No
1041,2024-02-14,East,Consumer,Technology,Wireless Mouse,2,25.5,0.0,No
1042,2024-02-15,West,Corporate,Office Supplies,Gel Pens 12-Pack,10,12.0,0.1,No
1043,2024-02-16,Central,Home Office,Furniture,Office Sofa,1,650.0,0.15,No
1044,2024-02-17,South,Consumer,Technology,4K Monitor,1,320.0,0.0,No
1045,2024-02-18,East,Corporate,Office Supplies,Paper Ream A4,12,6.5,0.0,No
1046,2024-02-19,West,Consumer,Technology,Bluetooth Speaker,3,45.0,0.0,No
1047,2024-02-20,Central,Home Office,Furniture,Desk Lamp,4,28.0,0.05,No
1048,2024-02-21,South,Corporate,Office Supplies,Notebook Binder,6,5.5,0.0,No
1049,2024-02-22,East,Consumer,Technology,USB-C Hub,2,35.0,0.0,No
1050,2024-02-23,West,Home Office,Furniture,Standing Desk,1,450.0,0.1,Yes
1051,2024-02-24,Central,Corporate,Office Supplies,Mechanical Pencil Set,5,8.0,0.0,No
1052,2024-02-25,South,Consumer,Technology,Noise-Cancel Headphones,1,199.99,0.0,No
1053,2024-02-26,East,Home Office,Furniture,Bookshelf 4-Tier,2,110.0,0.05,No
1054,2024-02-27,West,Corporate,Office Supplies,Stapler Heavy Duty,3,18.5,0.0,No
1055,2024-02-28,Central,Consumer,Technology,External SSD 1TB,1,110.0,0.0,No
1056,2024-02-29,South,Home Office,Furniture,Ergonomic Chair,1,250.0,0.0,No
1057,2024-03-01,East,Corporate,Office Supplies,Sticky Notes Pack,20,3.2,0.1,No
1058,2024-03-02,West,Consumer,Technology,Webcam 1080p,2,60.0,0.0,No
1059,2024-03-03,Central,Home Office,Furniture,Filing Cabinet,1,180.0,0.0,No
